log10N,MLE_mu,MLE_kappa,MLE_lambda,W1(method2)_mu,W1(method2)_kappa,W1(method2)_lambda,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa,Cramer-Rao Lower Bound of lambda
2.0,-0.4517067696548366,-1.0126949284166726,-0.40004108864334553,-0.4614462210889082,-1.0217237181180594,-0.3994915903405889,-1.4430273796181727,-1.3404128826923163,-1.4832607007503764
2.5,-0.9176126347009903,-1.417138811267219,-0.8297797813339415,-0.8430178470340235,-1.3666621690393255,-0.7490675825605775,-1.9430273796181727,-1.8404128826923163,-1.9832607007503764
3.0,-1.475755306252921,-1.8421911015088586,-1.4077171390063188,-1.3218149009477567,-1.76530641393591,-1.2312290783256699,-2.4430273796181727,-2.3404128826923163,-2.4832607007503764
3.5,-2.0826281376097056,-2.3799973314307903,-2.0301584728574142,-1.8628092359915263,-2.2620612969920737,-1.7691129228326015,-2.9430273796181727,-2.8404128826923163,-2.9832607007503764
4.0,-2.4397362859760974,-2.8237353504841813,-2.358796689006258,-2.3299611187065064,-2.737730592805071,-2.230427003445528,-3.4430273796181727,-3.3404128826923163,-3.4832607007503764
4.5,-2.600084348923564,-3.120120820271009,-2.4953645978918866,-2.7112013987132917,-3.157068139796566,-2.6050903986483664,-3.9430273796181727,-3.8404128826923163,-3.9832607007503764
5.0,-2.705822230798792,-3.3168941280166857,-2.585690283801399,-2.811179089944438,-3.3861716997575493,-2.6797031129716533,-4.443027379618172,-4.340412882692316,-4.483260700750376
