,vM_MLE_time,vM_W1(method2)_time,vM_W2(method3)_time,vM_type0_gamma05_time,vM_type1_beta05_time,WC_MLE_time,WC_W1(method2)_time,WC_W2(method3)_time
100,7.922999211587011e-05,0.19188030999503097,32.240110600006304,0.001608269999269396,0.0017995200003497302,0.0003099700028542429,0.07524390000035056,0.25183427999727426
1000,0.00011939999531023205,0.281351660011569,30.876128929993136,0.0010927099967375398,0.002091900003142655,0.00039798000361770394,0.07876600999152288,0.45186619999585675
10000,0.00027142001781612637,0.9031184599851259,37.233602430007885,0.004554020008072257,0.007920830009970814,0.0009143000061158091,0.21807171999244018,2.9411623699998017
100000,0.002250590006588027,6.7654253699991385,72.25086597000481,0.03760422000777908,0.0735632700030692,0.017151890008244665,1.9101176400028634,43.66919115000055
