log10N,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W2(method3)_mu,W2(method3)_kappa,type0_gamma05_mu,type0_gamma05_kappa,type1_beta05_mu,type1_beta05_kappa
2.0,-2.5061093870345563,0.6092770230682801,-2.514180379487551,0.3150949965910532,-2.363765064277603,0.7362214324775187,-2.5527064964867594,-0.0032014442218404352,-2.479076555463225,1.362516512264396
2.5,-2.9299209261549564,0.6354196259701751,-2.945785505382681,0.2853834580250055,-2.8123020229134887,0.7619347740179517,-2.9772896277939775,-0.2087943668717895,-2.9057403801953323,1.1605346080500714
3.0,-3.5028557283785275,0.6335547392873259,-3.4956312315719527,0.2053912058330936,-3.374181490162239,0.762946561759362,-3.547268418798776,-0.3293032543910283,-3.4717993466108155,1.1199653813998156
3.5,-3.9840517858594255,0.6338137474039375,-3.9524816507124894,0.17142329170468912,-3.840370037261255,0.7643623156531609,-4.0404084757700085,-0.3551529187971674,-3.9670898300012176,1.1014559350621103
4.0,-4.476435672087243,0.635087674715943,-4.434908685073469,0.16120491153219801,-4.330921101685031,0.7652628986286247,-4.5252422277490965,-0.3561345355830843,-4.455418835629113,1.0901022685995387
4.5,-5.010921953764533,0.6353724859769384,-4.921588416821763,0.15593149787883415,-4.83391826727883,0.7659018998259661,-5.020098650719009,-0.3638030550238875,-4.9333855269255364,1.0901984974447356
5.0,-5.482910972984383,0.6353065937074192,-5.419414795167334,0.15437042530849832,-5.256931792706741,0.7657768176369795,-5.526642270146282,-0.36545037390169555,-5.454037635991731,1.0895562941431376
