log10N,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W2(method3)_mu,W2(method3)_kappa
2.0,-2.4593386357002123,0.6209459693394301,-2.4704960207441102,0.33612436728187195,-2.3132604342568257,0.7440265999404025
2.5,-2.9855716598025928,0.6259948351406235,-2.9932860971622994,0.2625323845886057,-2.8589357681533842,0.7538997188250847
3.0,-3.4882069770674544,0.6279858092875998,-3.4813153760815707,0.19942470107328847,-3.367812112132584,0.7579837819033922
3.5,-3.9834793887116806,0.6346303297726019,-3.9443827216477314,0.17338774961810405,-3.854108426850343,0.764958213269184
4.0,-4.485899736199942,0.6349221849720412,-4.416014485886789,0.1579733503873038,-4.3687737515774945,0.7653149247012278
4.5,-4.991984803007268,0.6353105919285301,-4.909801141374135,0.15554184637635288,-4.848395766457265,0.7657172504892761
5.0,-5.494772825729677,0.6354053000196557,-5.4056078238854495,0.1554601481074105,-5.275256446098785,0.765878440243016
