,vM_MLE_time,vM_W1(eq_div)_time,vM_W2(quant_samp)_time,vM_type0_gamma05_time,vM_type1_beta05_time,WC_MLE_time,WC_W1(eq_div)_time,WC_W2(quant_samp)_time
100,0.0406905435025692,7.707177449576557,4.046744852885604,0.0032549021765589715,0.00415680967271328,0.0011554373428225516,0.03409820999950171,0.32814857736229897
1000,0.00020209625363349916,7.446633164212107,3.8797589231282474,0.0028034601360559463,0.004602326266467571,0.001219056360423565,0.049341164901852606,0.4675631789490581
10000,0.0006160298362374306,7.462516631372273,5.6361843351274725,0.00885412935167551,0.014425541833043098,0.00260873232036829,0.15220230128616094,1.7691687270998955
100000,0.0037139317020773886,8.190999734774232,40.716343408450484,0.06706793401390314,0.11462416276335716,0.018797866255044936,1.3223118348047138,29.977979673072696
