,MLE_mu,MLE_kappa,MLE_lambda,W1(method2)_mu,W1(method2)_kappa,W1(method2)_lambda,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa,Cramer-Rao Lower Bound of lambda
2.0,-0.46292201254562887,-1.0414986867137666,-0.41082591710404975,-0.45636278639762806,-1.051561034367656,-0.38547320825919423,-1.0322999485792939,-0.9982238848709459,-1.2034508019036627
2.5,-0.8571042284141001,-1.3873842618988603,-0.7653130973666968,-0.8032734943539837,-1.3508295974439053,-0.7060222868662799,-1.5322999485792939,-1.498223884870946,-1.7034508019036627
3.0,-1.4681453012193113,-1.872278176228264,-1.3829299768258385,-1.2949884730135879,-1.7698226953906375,-1.1964841378824307,-2.032299948579294,-1.998223884870946,-2.2034508019036627
3.5,-2.254339206389396,-2.4387376489171175,-2.2227478250722252,-1.8406980659658985,-2.2562298004046415,-1.7475223697306943,-2.532299948579294,-2.4982238848709457,-2.7034508019036627
4.0,-2.5195653822172006,-2.8833154132837477,-2.459900465269854,-2.273687888254951,-2.710345296973317,-2.1795145293207225,-3.032299948579294,-2.9982238848709457,-3.2034508019036627
