,MLE_mu,MLE_kappa,MLE_lambda,W2(method1)_mu,W2(method1)_kappa,W2(method1)_lambda,W1(method2)_mu,W1(method2)_kappa,W1(method2)_lambda
100,0.3707273710246447,0.12741326610142287,0.4094088304847414,0.0,1.0,0.49000000000000005,0.42061084445949326,0.12336451900924278,0.41820277954251095
316,0.12979541426882552,0.04816696775888021,0.15268493503275565,0.0,1.0,0.49000000000000005,0.16960203657617698,0.04820010945755352,0.2033478407933493
1000,0.02360601204664622,0.01454234198290904,0.021508336141597317,0.0,1.0,0.49000000000000005,0.05145026880410177,0.018294252459040535,0.06084764850779122
3162,0.0037112423068813545,0.0042091585009315525,0.0022828124063570413,0.0,1.0,0.49000000000000005,0.012840145478418616,0.007009693307324289,0.01485977138725333
10000,0.001038758259990554,0.0010337620452828278,0.0007257913458022378,0.0,1.0,0.49000000000000005,0.0013131383889809192,0.0013042149860531913,0.0008507146520636819
31622,0.00021356578883461206,0.0002699567197749837,0.000157285628541487,0.0,1.0,0.4899999999999999,0.0002981015764059742,0.0003219734202992961,0.00020390955307937687
100000,6.550799523142556e-05,8.188720960533413e-05,3.861622178712485e-05,0.0,1.0,0.48999999999999994,6.246153234705564e-05,7.004439133303195e-05,3.4609915782242384e-05
