,MLE_mu_mse,MLE_KL,MLE_W1,MLE_W2,W1(method2)_mu_mse,W1(method2)_KL,W1(method2)_W1,W1(method2)_W2,W1(method3)_mu_mse,W1(method3)_KL,W1(method3)_W1,W1(method3)_W2,W2(method3)_mu_mse,W2(method3)_KL,W2(method3)_W1,W2(method3)_W2
2.0,0.010050483986186421,0.06700164836137458,0.17179470967145016,0.2673479820068435,0.008339634425290707,0.07751107032043521,0.1539069391141428,0.2250123407213074,0.008326972478654627,0.07757058057477535,0.1539365398175346,0.22507425842664525,0.007558455662459824,0.11289315956290255,0.1652697475604051,0.21106473443958917
2.5,0.003109706146260978,0.059884927175003384,0.15456589657441447,0.2606895281869461,0.0026719998024937767,0.06788080532618161,0.1399523759899898,0.2159894131315299,0.00265889131754714,0.0678749290625921,0.13992894721023988,0.2159653522091913,0.0022009692377829913,0.09970834494871249,0.15270783388397963,0.19382140632117176
3.0,0.0009665891010105739,0.057610798989972636,0.14778937571189366,0.2581172108852274,0.0008503598542628617,0.06513844727655088,0.13521692753192932,0.21193174141798773,0.0008500868260488462,0.06513880124193837,0.13521682873390162,0.21192674892851504,0.0007129171904119945,0.09653202692507103,0.149447707220154,0.18778388567626383
3.5,0.00033158794520980804,0.05689825602302024,0.14595722800577154,0.25782337409039546,0.00029552033765815964,0.0641014423052929,0.13367115710727312,0.21076089931111977,0.0002945371564248002,0.0641012712089973,0.1336697347384249,0.21075827787399135,0.00023614105397245486,0.09516382739513327,0.14821931050002893,0.18590311463057127
4.0,0.0001078281712875263,0.05666429877816449,0.1453387443658056,0.2577038467669256,9.333706600654087e-05,0.06375683337750852,0.13318449298586127,0.2104530295866903,9.336982018593258e-05,0.06375623435275692,0.13318462995560504,0.21045491127077576,7.256662594230524e-05,0.09485333927114536,0.1479037572598561,0.18530790075615466
4.5,3.075709328218312e-05,0.056585911050952856,0.1450086429765844,0.2573956214173512,2.7930722735185466e-05,0.06372366288919534,0.13302040880461338,0.21013342214091832,2.7896029003564014e-05,0.0637235957914191,0.133020332978693,0.21013341061166033,2.2090655570110936e-05,0.09487751395072504,0.14787959244519794,0.1851114639245071
5.0,9.123785863990614e-06,0.056563881424449965,0.1449722122453507,0.2574308440263566,8.168064650792343e-06,0.06367544042537307,0.13297088680954017,0.21013564315861988,8.164921945855237e-06,0.06367542431169078,0.13297088306267477,0.21013567758212076,6.785137400660732e-06,0.09483701869731245,0.1478425412134181,0.1850514794643767
