,MLE_mu,MLE_CV,W1(method2)_mu,W1(method2)_CV,W1(method3)_mu,W1(method3)_CV,W2(method3)_mu,W2(method3)_CV
2.0,-2.438631342487763,-2.668015990323666,-2.416815762414309,-2.2094968149517995,-2.4244622410977974,-2.202581925965096,-2.2562662376048666,-2.518973435180121
2.5,-2.9036945279753112,-3.1530780411389774,-2.8563864029956414,-2.4372761056249814,-2.863944797299416,-2.4494616621905774,-2.7275059235335286,-2.7443999150473495
3.0,-3.387792849850629,-3.6599455122398354,-3.3485768337731208,-2.5621403630221864,-3.353678455761185,-2.5672215760706685,-3.210807027058218,-2.907775783909167
3.5,-3.894087853568337,-4.168225666382908,-3.854771355916003,-2.645143927882974,-3.858948071409595,-2.645674730632837,-3.725128469116479,-2.9400559185551844
4.0,-4.421394120855725,-4.652837613030876,-4.374336808586977,-2.6649150973672198,-4.375923907696306,-2.664808074408202,-4.252880913881444,-2.963619433363924
4.5,-4.9292082854047035,-5.1526593822577595,-4.875723270196355,-2.6699550467579782,-4.8757071783454204,-2.669891990767044,-4.763302638571258,-2.974700342976372
5.0,-5.399263711712595,-5.670144422036799,-5.365127405755878,-2.6711752045014774,-5.364997347687427,-2.671118172329903,-5.229058343038343,-2.9780316199375902
