log10N,MLE_mu,MLE_kappa,MLE_lambda,W1(method2)_mu,W1(method2)_kappa,W1(method2)_lambda,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa,Cramer-Rao Lower Bound of lambda
2.0,-0.4359057671310298,-1.0164604186915227,-0.38499995003937393,-0.4374956277657307,-1.0226247030168956,-0.3781265155838721,-1.0322999485792943,-0.9982238848709462,-1.203450801903663
2.5,-0.9135275948411572,-1.4064902053329675,-0.8266231593177671,-0.849706650072998,-1.3687499837728936,-0.754574290220035,-1.5322999485792943,-1.4982238848709462,-1.703450801903663
3.0,-1.53185505072206,-1.874917825573262,-1.4682191363003172,-1.3502201177425408,-1.7822104125171412,-1.2604738486938107,-2.0322999485792943,-1.9982238848709462,-2.2034508019036627
3.5,-2.2495960260778674,-2.433758195302497,-2.245926431275862,-1.927395644689849,-2.2922004789197583,-1.8439284127056683,-2.5322999485792943,-2.498223884870946,-2.7034508019036627
4.0,-2.793776017522447,-2.942162462832265,-2.8086303022720043,-2.3629410323908444,-2.750694078324335,-2.268954243451604,-3.0322999485792943,-2.998223884870946,-3.2034508019036627
4.5,-3.0081542418116074,-3.3463650621803795,-2.951732425172766,-2.7526897493384417,-3.1930993452219156,-2.6509178159004594,-3.5322999485792943,-3.498223884870946,-3.7034508019036627
5.0,-3.3814811161702067,-3.7911539799257783,-3.3011527014914677,-2.9081797595164494,-3.4608922142490295,-2.7788817742960976,-4.032299948579294,-3.998223884870946,-4.203450801903663
