log10N,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W1(method3)_mu,W1(method3)_kappa,W2(method3)_mu,W2(method3)_kappa,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa
2.0,-2.1369361172168366,-1.18311848742358,-2.1308076757801064,-1.1565816661521946,-2.129386618625318,-1.149922676332256,-2.108923790335913,-1.1221717246324923,-2.1447451881961834,-1.2154345043712496
2.5,-2.644784629758074,-1.6918294822581132,-2.639816670649652,-1.6739959341411859,-2.638409219563006,-1.6722862609385474,-2.626509374772189,-1.6558773141942604,-2.6447451881961834,-1.7154345043712496
3.0,-3.1363027977648246,-2.1963313870582235,-3.1304681653864037,-2.1742766148475017,-3.129797125991224,-2.1754588027640582,-3.122068323578088,-2.163504446117049,-3.1447451881961834,-2.21543450437125
3.5,-3.6387523042456285,-2.703024008845726,-3.6313086963680665,-2.678585221949134,-3.631660494305126,-2.67843352879185,-3.6320390328358774,-2.6861060924453817,-3.6447451881961834,-2.71543450437125
4.0,-4.148853412143184,-3.22454107094415,-4.139249858881425,-3.2027657714547293,-4.139156448502867,-3.2028976756792633,-4.131721619290102,-3.1993746782054715,-4.144745188196183,-3.21543450437125
4.5,-4.651177727083676,-3.731222546934204,-4.6475183855668325,-3.706521115877704,-4.6475241995039,-3.7065614657294703,-4.630072633908139,-3.694190699761807,-4.644745188196183,-3.71543450437125
5.0,-5.126271449064893,-4.218202957936821,-5.11983492616083,-4.198815192629116,-5.11970016259989,-4.1988844023490035,-5.1184663138385575,-4.190386478061394,-5.144745188196183,-4.21543450437125
