log10N,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W1(method3)_mu,W1(method3)_kappa,W2(method3)_mu,W2(method3)_kappa,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa
2.0,-2.1358268302969394,-1.1929259626511455,-2.126397557069904,-1.1413811830111,-2.1181221843409284,-1.1428541563164731,-2.106942539056405,-1.1470684682068322,-2.1447451881961834,-1.2154345043712496
2.5,-2.6452686139071355,-1.6844045288575988,-2.634488478661209,-1.6565155053507503,-2.63366249340674,-1.6540338654103686,-2.6324560553775873,-1.6528122917182273,-2.6447451881961834,-1.7154345043712496
3.0,-3.135996496781474,-2.201157338593899,-3.125493051785984,-2.169308464481589,-3.125430573092243,-2.168957383889341,-3.113412481799025,-2.1810924277738692,-3.1447451881961834,-2.21543450437125
3.5,-3.6456766159181795,-2.7144570163668247,-3.6364052749524993,-2.69374784966101,-3.6347512296701936,-2.694047835594152,-3.635129173127561,-2.6847756394783766,-3.6447451881961834,-2.71543450437125
4.0,-4.151752781425682,-3.2039415554931887,-4.145700343819717,-3.18527243835869,-4.145597061369832,-3.1853420092090707,-4.141254535305022,-3.188245359783255,-4.144745188196183,-3.21543450437125
4.5,-4.6594483262346555,-3.7285798069917093,-4.6472992897898635,-3.7092998314622014,-4.647197058445038,-3.7095838877219323,-4.64667928662807,-3.693083621808992,-4.644745188196183,-3.71543450437125
5.0,-5.1446722112831855,-4.229929495030952,-5.140658655667591,-4.208870483868121,-5.140701870907212,-4.208852602393172,-5.124688172912823,-4.201615650046764,-5.144745188196183,-4.21543450437125
