,MLE_mu / CR_mu,MLE_kappa / CR_kappa,W1(method2)_mu / MLE_mu,W1(method2)_kappa / MLE_kappa,W2(method3)_mu / MLE_mu,W2(method3)_kappa / MLE_kappa
0.5,1.019616380023687,0.9758554049997183,1.0078881508861492,1.0155619319301448,1.004723526682421,1.0062692685448937
1.0,0.9617236982696538,0.9862189441719722,1.013369171719523,1.0119474979537568,1.0277738532271992,1.0219543351772742
1.5,1.000330531957419,0.9880019952043312,1.004719298808015,1.04623696961708,1.028496462704114,1.0414026448784397
2.0,0.9192023894737915,1.0520376187841254,1.0172646397538847,1.0471678237321544,1.0314182776440863,1.0466451616018115
2.5,1.0496956619603397,1.1122293504014613,0.9983578741822724,1.078005598935201,1.0469029992761236,1.1003533832786738
3.0,1.0086580630486368,0.9932682449657013,1.0250659554171604,1.0972701974857606,1.047194400393067,1.0944721137527094
3.5,0.9633027539590935,1.0219044741728702,1.0104007635514474,1.140053973457443,1.0403635636831627,1.114834233285563
4.0,0.9794463713688732,1.0673058433528966,1.0245268115059136,1.1698199972997976,1.0238516808535763,1.0817707292541037
4.5,1.078279079714128,0.930807433646975,1.0288408068839643,1.1609840327214558,1.0112124580533233,1.1047212026948086
5.0,0.9746724511972825,1.0458664133780495,1.0296427870895417,1.1629906423528649,1.0089080337211862,1.0543904306640273
