log10N,MLE_mu,MLE_rho,W1(method2)_mu,W1(method2)_rho,W2(method3)_mu,W2(method3)_rho,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of rho
2.0,-2.565180604901278,-2.854323191263215,-2.47245188640446,-2.7201110484149713,-2.2872191159498203,-2.5444481481866377,-2.576085723496622,-2.8858896434681087
2.5,-3.0805005709732494,-3.379163542419171,-2.9730663915677398,-3.2754929733811418,-2.7731128313561486,-3.093994662276634,-3.076085723496622,-3.3858896434681087
3.0,-3.5635958238505854,-3.9028298657453577,-3.4630486872816357,-3.770627207742085,-3.293423363378786,-3.586329909390558,-3.576085723496622,-3.8858896434681087
3.5,-4.073202341885677,-4.398680081750942,-3.959486055814298,-4.275061208799951,-3.7816642345238756,-4.104700237870967,-4.076085723496622,-4.385889643468109
4.0,-4.528043827294399,-4.93106941790704,-4.413815165451427,-4.789236530337805,-4.243182616963078,-4.609567776898365,-4.576085723496622,-4.885889643468109
4.5,-5.071798344604407,-5.402203902089317,-4.964856665306798,-5.265738109797633,-4.789925667091737,-5.07695019924971,-5.076085723496622,-5.385889643468109
5.0,-5.563888000819595,-5.85121138557357,-5.461916980177253,-5.755928599498103,-5.291421989248031,-5.579136349850658,-5.576085723496622,-5.885889643468109
