log10N,MLE_mu,MLE_rho,W1(method2)_mu,W1(method2)_rho,W2(method3)_mu,W2(method3)_rho,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of rho
2.0,-1.615811620347961,-2.4709701047464554,-1.5828658312264583,-2.438303303050429,-1.555733128638729,-2.400709339706293,-1.6565914061961429,-2.452471423540218
2.5,-2.142471608615099,-2.9653249453103734,-2.112657412790745,-2.9309451511781948,-2.089420189037701,-2.8960933733014147,-2.1565914061961426,-2.952471423540218
3.0,-2.6195032860998544,-3.4268396124654283,-2.5944759557634858,-3.388835062019722,-2.552149782188445,-3.351495781659747,-2.6565914061961426,-3.452471423540218
3.5,-3.1392143910701247,-3.9676066557826686,-3.110569267731845,-3.9246129613627962,-3.068871237692537,-3.8786232138152523,-3.1565914061961426,-3.952471423540218
4.0,-3.668224452442739,-4.439976851000138,-3.6398017927538975,-4.403936776641535,-3.5973592937132497,-4.366988536303064,-3.6565914061961426,-4.452471423540218
4.5,-4.143449062071857,-4.954617139563958,-4.112416506738522,-4.905059269983039,-4.069766297023846,-4.8617313714725485,-4.156591406196143,-4.952471423540218
5.0,-4.670983652857365,-5.445267873981229,-4.6245861561121755,-5.41196438144967,-4.57907300606169,-5.3753593541813665,-4.656591406196143,-5.452471423540218
