log10N,MLE_mu,MLE_rho,W1(method2)_mu,W1(method2)_rho,W2(method3)_mu,W2(method3)_rho,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of rho
2.0,-1.6318593514369681,-2.449242423100866,-1.6041577339481254,-2.4014084406092024,-1.5864212406187144,-2.3620784378635573,-1.6565914061961429,-2.452471423540218
2.5,-2.1358711914417086,-2.9544508357041566,-2.098540794928903,-2.9250443862065088,-2.068002916791227,-2.8971973161680564,-2.1565914061961426,-2.952471423540218
3.0,-2.6305381932360636,-3.4142329069737083,-2.595382981856813,-3.373268801708006,-2.560491643799366,-3.337708711635565,-2.6565914061961426,-3.452471423540218
3.5,-3.1430545063580544,-3.945723533833405,-3.1134621396691986,-3.919107062817967,-3.068966700956895,-3.8779288519400006,-3.1565914061961426,-3.952471423540218
4.0,-3.6393091617067057,-4.492920710412722,-3.6022277325605194,-4.4626948374646975,-3.5718504723888613,-4.41953455062578,-3.6565914061961426,-4.452471423540218
4.5,-4.143969733339661,-4.994477325265319,-4.1119215428404035,-4.946541051453812,-4.077831225957358,-4.897360550937512,-4.156591406196143,-4.952471423540218
5.0,-4.6541782132385165,-5.438293448140943,-4.625757371659774,-5.409206555271756,-4.59973724944784,-5.369845327694805,-4.656591406196143,-5.452471423540218
