,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W2(method3)_mu,W2(method3)_kappa,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa
2.0,-2.1499874458122323,-1.170305371046471,-2.1384613179514163,-1.1308890235674816,-2.1272417969834847,-1.1147447035168268,-2.1447451881961834,-1.4987733735690818
2.5,-2.649689182680403,-1.7030323551948063,-2.6394454062103776,-1.6840882998536508,-2.6361304819933524,-1.671229386878752,-2.6447451881961834,-1.9987733735690818
3.0,-3.1243152859805527,-2.2240587097220454,-3.1137687022877927,-2.2114083671063107,-3.110684315115857,-2.180851748798887,-3.1447451881961834,-2.498773373569082
3.5,-3.6168650853576922,-2.709675805665004,-3.6071124376448407,-2.691862580198268,-3.606778723071298,-2.68804512723827,-3.6447451881961834,-2.998773373569082
4.0,-4.134011135759124,-3.227518107286929,-4.124882720811855,-3.213881284292785,-4.128146533909738,-3.194814804893133,-4.144745188196183,-3.498773373569082
4.5,-4.628559084678912,-3.720771700478375,-4.623161503999669,-3.6973466376897384,-4.613306608029054,-3.692613177490412,-4.644745188196183,-3.998773373569082
